Italian,Turkish
dovremmo,yapmalıyız
farti,Kendinizi
soltanto,sadece
piu',Daha'
buono,İyi
puttana,fahişe
vivo,canlı
sappiamo,biliyoruz
luce,ışık
generale,genel
qualsiasi,herhangi
vogliamo,biz istiyoruz
ultimo,son
dicono,diyorlar ki
benissimo,Çok iyi
Harry,Harry
foto,fotoğraf
unico,eşsiz
onore,onur
ragazze,kızlar
scritto,yazılı
andate,Gitmek
tieni,kale
siano,'dır'
ufficio,ofis
entra,girmek
chiedo,Soruyorum
coraggio,cesaret
andando,giden
venga,Gelmek
dieci,on
credevo,İnanıyordum.
voglia,istiyor
potremmo,yapabiliriz
esatto,Kesinlikle
credere,inanmak
tratta,anlaşmalar
eravamo,bizdik
arrivato,ulaşmış
bambina,kız
pistola,tabanca
voce,ses
dormire,uyumak
lasci,ayrılmak
avessi,Benim vardı
chiaro,temizlemek
aspetto,Bekliyorum.
squadra,takım
attento,dikkatli olmak
cerca,yakın
ordine,emir
Joey,Joey
arrivederci,Tekrar görüşene kadar
arriva,o geliyor
armi,silahlar
sulle,üzerinde
ormai,Bu noktada
maggiore,daha büyük
fretta,acele etmek
sarai,Sen olacaksın
sacco,çuval
fatti,gerçekler
York,York
parli,sen konuşuyorsun
colpo,vurmak
sarei,Ben
m',Ben
caffè,Kahve
capisci,anladın
dicendo,söz
vostri,seninki
camera,oda
alcuni,bazı
cercare,aramak
arrivo,Varıyorum
aspettare,Beklemek
situazione,durum
faremo,Yapacağız
deciso,karar verilmiş
esattamente,Kesinlikle
dev',mutlak
addio,Güle güle
scena,sahne
inglese,İngilizce
perfetto,Mükemmel
potete,yapabilirsiniz
fammi,benim için yap
alto,yüksek
dello,-nın
prendo,Ben alıyorum
conosci,Biliyorsun
be',Peki
sapete,Biliyorsun
pazzo,deli
chiami,siz ararsınız
tornato,geri döndü
sicura,güvenli
lasciare,ayrılmak
capelli,saç
potere,şekerler
avevi,sende vardı
morti,ölü
avrà,sahip olacak
fantastico,Fantastik
matrimonio,evlilik
passo,adım
portare,getirmek
aspetti,bakış açıları
torno,Geri dönüyorum
arrivare,varmak
guai,bela
trova,bulgular
motivo,sebep
resta,kalmak
inizio,başlangıç
smettila,durdurun
diventare,haline gelmek
potresti,yapabilirdin
n',N'
voluto,aranan
vanno,onlar gidiyorlar
disse,dedi ki
morta,ölü
de,ile ilgili
bagno,banyo
zio,Amca
futuro,gelecek
sbagliato,yanlış
guardi,Bakmak
cosi',Bunun gibi'
sicurezza,emniyet
pezzo,parça
devono,onlar
venuta,gelen
allo,de
tenente,teğmen
silenzio,sessizlik
porto,liman
uccidere,öldürmek
odio,nefret
sull',üzerinde
giocare,oynamak
lontano,mesafe
durante,sırasında
segreto,gizli
sole,güneş
mettere,koymak
venite,Gelmek
dirmi,Söyle bana
sistema,sistem
viaggio,yolculuk
causa,neden
r,R
comandante,komutan
settimane,haftalar
semplice,basit
minuto,dakika
divertente,eğlence
avresti,sen sahip olurdun
grandi,büyük
presidente,başkan
bocca,ağız
permesso,izin vermek
vecchia,eskimiş
culo,eşek
sogno,rüya
glielo,ona ver
c,C
guardare,kol saati
probabilmente,muhtemelen
vengo,Geliyorum
lasciami,beni yalnız bırak
ie,yani
negli,içinde
do,Yapmak
fermo,durdu
zitto,kapa çeneni
vera,doğru
tante,birçok
ln,ln
colonnello,Albay
stupido,aptal
Cristo,İsa
conosce,O biliyor.
fame,açlık
cura,tedavi
prigione,hapishane
finire,sona ermek
farai,yapacaksın
d,D
buonanotte,İyi geceler
Tom,Tom
prossima,Sonraki
brava,İyi
specie,türler
prende,almak
piacerebbe,Ben istiyorum
circa,hakkında
funziona,işler
dovete,yapmalısın
brutto,kötü
vattene,çekip gitmek
sente,o hissediyor
cavallo,atış
peccato,Günah
mattina,Sabah
consiglio,öğüt vermek
cambiare,değiştirmek
saperlo,onu bilmek
usare,kullanmak
naturalmente,doğal olarak
continua,devam ediyor
scelta,seçenek
possibilità,olasılık
spesso,Sıklıkla
dà,itibaren
dirti,sana söyleyeceğim
piuttosto,yerine
trovo,Buldum ki
fondo,alt
ricorda,Unutma
guardate,Bakmak
ospedale,hastane
qualunque,herhangi biri
Maria,Mary
andrà,gidecek
legge,kanun
agente,ajan
oltre,öte
avesse,vardı
servizio,hizmet
tanti,birçok
messaggio,mesaj
giornata,gün
faceva,o yapıyordu
energia,enerji
incredibile,inanılmaz
sala,oda
mandato,yetki
chiamare,Arama
doveva,nereye gidiyorsun
libero,özgür
aereo,uçak
ricevuto,kabul edilmiş
porti,limanlar
preoccuparti,endişelenmek
uh,uh
finalmente,Sonunda
quali,Hangi
stronzo,Pislik
mostro,canavar
sette,Yedi
pronta,hazır
metti,sen koydun
Henry,Henry
programma,plan
poteva,olabilir
parti,parçalar
saputo,bilinen
partita,kibrit
gentile,Tür
poter,yapabilmek için
freddo,Freddo
s',Evet
piacciono,Onlar hoşlarına gidiyor
Clark,Clark
vederti,seni görmek için
domande,istekler
peggio,daha kötüsü
sanno,Onlar biliyorlar.
genitori,ebeveynler
amica,arkadaş
solito,olağan
anima,ruh
terribile,korkunç
buonasera,İyi akşamlar
oro,altın
occhio,göz
si',Evet'
radio,radyo
quante,kaç tane
pieno,tam dolu
rapporto,ilişki
avrai,sahip olacaksınız
alcune,birisi
provare,denemek
carino,Sevimli
scoperto,keşif
America,Amerika
denaro,para
compagnia,şirket
interessante,ilginç
avvocato,avukat
t',T'
vestito,elbise
ottimo,Optimal
avevano,onların vardı
esercito,ordu
vestiti,kıyafetler
treno,tren
succedendo,olay
mese,ay
impossibile,imkansız
chiunque,kim olursa olsun
vale,buna değer
nello,içinde
milioni,milyonlarca
cibo,yiyecek
tempi,kez
jim,Jim
piu,Daha
laggiù,o tarafta
intorno,çevre
servono,hizmet ediyorlar
chiave,anahtar
coi,ile
diritto,Sağ
dimenticato,unutulmuş
ve,Sen
natale,Noel
calma,sakinlik
altrimenti,aksi takdirde
t,T
Miss,Kayıp
provato,sınanmış
dirlo,söyle
cinema,sinema
chiedere,sormak
ritardo,gecikme
realtà,gerçeklik
mare,deniz
maestro,usta
TV,TV
pagare,ödemek
pianeta,gezegen
fronte,alın
addosso,üzerimde
entrambi,ikisi birden
dia,gün
cambiato,değişti
interessa,Bu ilgi çekici.
assolutamente,kesinlikle
risposta,cevap
rispetto,Saygı
pena,penaltı
Gesù,İsa
Michael,Michael
incontro,rastlamak
cercato,arandı
occhiata,Bakmak
pensando,düşünme
cioè,Anlamı ne?
the,o
notizie,haberler
sorpresa,sürpriz
bastardo,piç
salute,Sağlık
lettera,mektup
incidente,kaza
grosso,büyük
soli,yalnız
mica,hiç de bile
sembrava,öyle görünüyordu
grado,derece
aiutare,yardım
sinistra,sol
dovevo,Yapmak zorundaydım
contento,mutlu
canzone,şarkı
sapeva,O biliyordu.
santo,kutsal
verrà,gelecek
saremo,biz olacağız
speciale,özel
diceva,dedi ki
posizione,konum
gruppo,grup
giuro,yemin ederim
